"Race ID, Date R (16 digits)","By formula, (1) Win (2) Double win (3) Frame ream (4) Maren (5) Wide (6) Horse single (7) Triple double (8) Triple single","Method, (1) Normal (2) Formation (3) Box (4) Nagashi","Nagashi, (0) Unspecified (1) 1st (2) 2nd (3) 3rd (4) 1 axis (5) 2nd axis (6) 1st and 2nd (7) 1st and 3rd (8) 2nd and 3rd
(Note) Specify only when the method is long. The effective combination of formula, method, and length is based on PAT.","multi, 0 or 1","Buy eyes 1, Binary 18 digits","Buy eyes 2, Same as above","Buy eyes 3, Same as above
(Note) Set 1 for the applicable horse number. In some cases, the opponent always uses the buy eye 3 and does not use the buy eye 2.","amount, 1-100"
2010061305030801,1,1,0,0,100000000000000000,000000000000000000,000000000000000000,27
2010061305030801,7,1,0,0,100000000000000000,000100000000000000,000000100000000000,8
2010061305030801,7,1,0,0,100000000000000000,000001000000000000,000000100000000000,5
2010061305030801,7,1,0,0,100000000000000000,000000100000000000,000000010000000000,3
2010061305030801,8,1,0,0,100000000000000000,000000100000000000,000100000000000000,1
2010061305030801,8,1,0,0,000000100000000000,100000000000000000,000100000000000000,1
2010061305030801,8,1,0,0,100000000000000000,000100000000000000,000000100000000000,1
2010061305030801,8,1,0,0,000000100000000000,000100000000000000,100000000000000000,1
2010061305030801,8,1,0,0,100000000000000000,000000100000000000,000001000000000000,1
2010061305030801,8,1,0,0,000000100000000000,100000000000000000,000001000000000000,1
2010061305030801,8,1,0,0,000100000000000000,100000000000000000,000000100000000000,1
2010061305030801,8,1,0,0,000100000000000000,000000100000000000,100000000000000000,1
2010061305030802,1,1,0,0,000000000001000000,000000000000000000,000000000000000000,35
2010061305030802,7,1,0,0,000000001000000000,000000000001000000,000000000000001000,4
2010061305030802,7,1,0,0,000010000000000000,000000000001000000,000000000000001000,4
2010061305030802,7,1,0,0,000000100000000000,000000000001000000,000000000000001000,3
2010061305030802,8,1,0,0,000000000001000000,000000000000001000,000000001000000000,1
2010061305030802,8,1,0,0,000000000001000000,000000000000001000,000010000000000000,1
2010061305030802,8,1,0,0,000000000001000000,000000001000000000,000000000000001000,1
2010061305030802,8,1,0,0,000000000001000000,000010000000000000,000000000000001000,1
